snapshot_index,snapshot_name,snapshot_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
87,online-critic_20260630T205426884172,artifacts/model-snapshots/online-critic_20260630T205426884172,max_steps_reached,False,3000,30.0,35.987206594698364,0.210466266667936,38.24027116698562,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
88,online-critic_20260630T205457685647,artifacts/model-snapshots/online-critic_20260630T205457685647,max_steps_reached,False,3000,30.0,36.45344322375604,0.21258293429855257,38.7394355419965,0.0,0.0,0.0,3000,0.18209999999999998,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
89,online-critic_20260630T205537348864,artifacts/model-snapshots/online-critic_20260630T205537348864,max_steps_reached,False,3000,30.0,36.4119640904828,0.21413983270758763,38.68163654199452,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
90,online-critic_20260630T205633867012,artifacts/model-snapshots/online-critic_20260630T205633867012,max_steps_reached,False,3000,30.0,36.26218372938456,0.21129312337143347,38.51677266700426,0.0,0.0,0.0,3000,0.231,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
91,online-critic_20260630T205701984674,artifacts/model-snapshots/online-critic_20260630T205701984674,max_steps_reached,False,3000,30.0,36.4049255863647,0.21487312141107395,38.87168741700589,0.0,0.0,0.0,3000,0.12333333333333334,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
92,online-critic_20260630T205734097802,artifacts/model-snapshots/online-critic_20260630T205734097802,max_steps_reached,False,3000,30.0,36.467551376117626,0.21516287012491375,38.739410332986154,0.0,0.0,0.0,3000,0.1595,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
93,online-critic_20260630T205807155573,artifacts/model-snapshots/online-critic_20260630T205807155573,max_steps_reached,False,3000,30.0,36.41695018552127,0.21473210319527425,38.690811791981105,0.0,0.0,0.0,3000,0.14325833333333335,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
94,online-critic_20260630T205914982747,artifacts/model-snapshots/online-critic_20260630T205914982747,max_steps_reached,False,3000,30.0,36.36278913915157,0.21419459805474617,38.63651562502491,0.0,0.0,0.0,3000,0.14675,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
95,online-critic_20260630T205935459885,artifacts/model-snapshots/online-critic_20260630T205935459885,max_steps_reached,False,3000,30.0,37.626586972764926,0.2139994543103967,39.913296165992506,0.0,0.0,0.0,3000,0.04845000000000001,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
96,online-critic_20260630T210008689249,artifacts/model-snapshots/online-critic_20260630T210008689249,max_steps_reached,False,3000,30.0,36.678586848749546,0.21419199722004123,38.9809318339976,0.0,0.0,0.0,3000,0.31374166666666664,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
97,online-critic_20260630T210038387220,artifacts/model-snapshots/online-critic_20260630T210038387220,max_steps_reached,False,3000,30.0,36.58750568123651,0.21304953817161731,38.89037970802747,0.0,0.0,0.0,3000,0.05529166666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
98,online-critic_20260630T210106922571,artifacts/model-snapshots/online-critic_20260630T210106922571,max_steps_reached,False,3000,30.0,36.38807333545992,0.21329126734053716,38.82065258399234,0.0,0.0,0.0,3000,0.24058333333333334,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
99,online-critic_20260630T210154913526,artifacts/model-snapshots/online-critic_20260630T210154913526,max_steps_reached,False,3000,30.0,36.50494713924127,0.21345998786273412,38.81437779197586,0.0,0.0,0.0,3000,0.28854166666666664,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
100,online-critic_20260630T210228444903,artifacts/model-snapshots/online-critic_20260630T210228444903,max_steps_reached,False,3000,30.0,36.215249567700084,0.21236818461329676,38.47886241602828,0.0,0.0,0.0,3000,0.29233333333333333,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
101,online-critic_20260630T210357020649,artifacts/model-snapshots/online-critic_20260630T210357020649,max_steps_reached,False,3000,30.0,37.578804249176756,0.21482859551906586,39.990731624973705,0.0,0.0,0.0,3000,0.11333333333333333,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
102,online-critic_20260630T210427224283,artifacts/model-snapshots/online-critic_20260630T210427224283,max_steps_reached,False,3000,30.0,31.26179078637506,0.18699289552750997,33.33913795900298,0.0,0.0,0.0,3000,0.43,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
103,online-critic_20260630T210452587225,artifacts/model-snapshots/online-critic_20260630T210452587225,max_steps_reached,False,3000,30.0,31.21340933055035,0.1875613153388258,33.21917741600191,0.0,0.0,0.0,3000,0.635,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
104,online-critic_20260630T210520315051,artifacts/model-snapshots/online-critic_20260630T210520315051,max_steps_reached,False,3000,30.0,31.482987571158446,0.19316171450191177,33.530254082987085,0.0,0.0,0.0,3000,0.6388250000000001,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
105,online-critic_20260630T210542702463,artifacts/model-snapshots/online-critic_20260630T210542702463,max_steps_reached,False,3000,30.0,31.42615764506627,0.19217262655729428,33.6018183749984,0.0,0.0,0.0,3000,0.15866666666666668,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
106,online-critic_20260630T210745587026,artifacts/model-snapshots/online-critic_20260630T210745587026,max_steps_reached,False,3000,30.0,31.60639543729485,0.19400486524682492,33.67971412499901,0.0,0.0,0.0,3000,0.0,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
107,online-critic_20260630T210807061329,artifacts/model-snapshots/online-critic_20260630T210807061329,max_steps_reached,False,3000,30.0,22.283497809112305,0.16061324661131948,23.728271790983854,0.12050416431288383,-0.11949572343962593,0.004016805477096127,1948,0.0,0.0027335728952772075,1.0,1.540041067761807,4.566084150833528,-1.9859279562780068
